machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
M,300.78,311.19,1401.0,51.14,156,230.0,3.139,138.16,No Failure,0
M,301.21,311.48,1636.2,41.8,199,519.2,3.414,129.37,No Failure,0
L,299.09,307.77,1471.0,47.94,192,302.5,3.668,149.54,No Failure,0
L,298.47,309.67,1586.5,23.12,56,1744.4,1.946,159.3,No Failure,0
H,300.18,311.72,1451.5,33.72,157,797.0,2.818,138.1,No Failure,0
L,301.84,312.26,1477.2,41.36,29,220.9,1.939,166.13,No Failure,0
H,299.9,308.39,1534.7,44.53,133,409.9,3.076,154.85,No Failure,0
L,298.6,308.76,1498.7,33.52,249,418.5,3.449,165.58,No Failure,0
M,297.6,307.94,1536.2,34.99,52,1263.8,2.133,137.44,No Failure,0
L,300.41,310.14,1475.9,36.08,180,864.9,3.148,137.94,No Failure,0
L,298.89,310.24,1487.1,37.02,13,612.8,1.306,142.05,No Failure,0
H,299.86,309.74,1211.9,61.64,130,888.0,3.841,167.56,No Failure,0
L,299.52,311.63,1493.9,43.13,31,1380.0,1.692,150.86,No Failure,0
H,299.11,309.89,1504.3,40.4,244,2508.6,4.248,147.69,No Failure,0
L,300.59,310.86,1728.0,27.41,111,1972.3,2.574,166.44,No Failure,0
H,301.11,312.03,1602.7,27.65,238,686.6,3.22,135.38,No Failure,0
H,303.93,315.46,1447.0,37.87,225,480.1,3.562,153.16,No Failure,0
M,301.52,312.41,1534.4,51.3,28,795.4,1.758,148.83,No Failure,0
L,303.19,313.11,1542.8,38.01,126,1108.4,3.063,169.34,No Failure,0
M,298.36,307.7,1523.6,38.44,159,365.6,3.367,161.38,No Failure,0
M,296.8,305.68,1552.3,32.56,107,722.0,2.967,144.13,No Failure,0
H,299.97,307.53,1647.0,22.58,172,815.4,2.658,170.51,No Failure,0
L,301.72,311.89,1381.2,44.37,111,1777.6,3.471,152.21,No Failure,0
L,301.4,311.01,1506.6,37.46,215,303.4,3.951,157.0,No Failure,0
L,302.42,312.09,1438.2,44.46,157,135.0,3.726,154.79,No Failure,0
M,294.93,305.96,1513.3,41.55,124,125.0,2.893,170.51,No Failure,0
H,302.51,312.39,1671.2,30.36,213,1269.6,3.433,121.02,No Failure,0
L,300.67,312.57,1562.5,42.25,169,1546.8,3.063,156.46,No Failure,0
M,296.91,306.34,1642.9,27.09,67,453.7,2.365,177.22,No Failure,0
H,301.45,310.48,1321.1,42.18,88,1109.0,2.465,134.85,No Failure,0
L,300.34,309.08,1459.5,39.37,23,1419.8,1.763,138.3,No Failure,0
L,300.76,311.49,1206.4,55.41,100,835.7,3.224,152.85,No Failure,0
M,302.0,313.15,1660.3,31.33,141,2237.9,3.061,165.13,No Failure,0
M,300.86,310.27,1588.9,26.73,140,562.6,2.656,154.07,No Failure,0
L,297.05,305.99,1513.4,35.87,197,1073.9,3.512,147.43,No Failure,0
H,299.71,311.24,1383.2,46.09,53,18.1,2.321,149.88,No Failure,0
M,296.76,305.31,1831.2,12.02,98,1891.4,2.025,145.64,Power Failure,1
H,301.3,312.31,1432.7,48.76,198,745.2,4.091,144.45,No Failure,0
H,302.8,312.22,1500.0,37.91,182,811.4,3.52,133.69,No Failure,0
H,297.52,307.91,1596.2,28.58,124,1096.1,2.504,175.51,No Failure,0
M,298.66,309.73,1541.2,36.32,197,1347.6,3.867,152.14,No Failure,0
L,298.24,308.71,1540.8,32.59,212,621.9,3.376,137.86,Tool Wear Failure,1
M,299.09,308.8,1705.3,27.75,106,1272.2,2.372,163.5,No Failure,0
L,300.82,312.22,1761.4,20.61,196,531.0,3.091,122.02,No Failure,0
M,299.11,309.4,1443.6,47.3,56,1596.2,2.177,134.52,No Failure,0
L,301.31,314.99,1468.4,34.41,140,1136.0,2.783,153.62,No Failure,0
M,302.13,310.43,1554.4,36.09,62,267.3,2.416,149.44,No Failure,0
L,302.2,310.48,1372.5,48.45,171,256.5,3.488,156.81,Heat Dissipation Failure,1
L,297.76,308.76,1617.6,40.56,91,1332.4,3.023,139.05,No Failure,0
L,302.77,312.74,1759.8,24.41,212,94.8,3.246,144.82,No Failure,0
M,302.93,313.72,1504.7,46.73,228,534.9,3.828,147.63,No Failure,0
M,303.11,312.01,1270.5,54.84,84,1193.6,2.339,140.15,No Failure,0
L,299.68,309.74,1411.5,45.03,8,399.5,1.382,136.57,No Failure,0
H,298.5,308.95,1544.8,31.35,182,744.7,3.01,168.72,No Failure,0
H,298.03,307.49,1535.9,25.27,228,384.7,3.336,137.38,No Failure,0
L,297.8,308.03,1538.6,30.99,230,248.5,3.54,146.88,No Failure,0
M,300.02,308.66,1506.4,41.03,57,1515.6,2.229,138.36,No Failure,0
L,301.7,312.09,1427.1,54.26,7,302.8,1.705,142.62,No Failure,0
L,302.61,314.06,1670.4,32.41,19,354.8,2.126,132.59,No Failure,0
M,299.03,307.79,1543.7,33.51,124,506.7,2.672,134.5,No Failure,0
L,299.92,308.62,1385.1,50.21,67,528.3,2.709,145.61,No Failure,0
H,299.79,310.98,1412.6,35.66,36,575.7,1.603,145.97,No Failure,0
H,298.73,307.41,1387.9,57.14,49,1459.1,2.308,153.17,No Failure,0
H,301.47,312.31,1464.9,38.52,96,777.8,2.614,175.14,No Failure,0
M,300.73,310.78,1381.6,51.68,13,431.8,2.081,152.62,No Failure,0
M,300.28,309.87,1412.3,43.83,207,569.1,4.004,143.88,No Failure,0
H,300.72,312.18,1388.9,47.07,238,970.6,3.724,121.58,No Failure,0
L,301.23,312.16,1572.7,38.23,49,61.2,2.836,134.3,No Failure,0
L,301.21,311.49,1497.7,38.88,143,517.0,3.481,171.09,No Failure,0
M,298.32,306.17,1601.0,44.19,8,1678.6,1.824,158.61,No Failure,0
L,301.79,312.5,1329.4,47.98,21,639.6,2.066,153.74,No Failure,0
L,300.51,309.44,1564.4,45.26,71,704.5,2.473,156.55,No Failure,0
L,299.13,308.91,1590.9,22.33,211,561.1,3.063,135.89,No Failure,0
M,300.47,310.48,1468.3,42.58,194,1473.4,3.177,154.12,No Failure,0
L,300.69,312.59,1591.0,33.43,177,1814.9,2.889,147.1,No Failure,0
L,302.16,311.91,1630.0,34.54,26,27.0,1.363,163.31,No Failure,0
L,297.91,306.48,1553.3,44.58,54,2123.2,2.731,148.12,No Failure,0
L,302.65,314.12,1452.3,56.98,146,193.5,3.248,140.22,No Failure,0
H,300.05,310.77,1493.8,37.68,92,1210.6,2.799,153.62,No Failure,0
L,298.99,309.75,1499.3,59.73,185,1223.5,3.767,144.57,Power Failure,1
M,298.93,310.41,1637.1,29.03,138,237.8,2.718,156.97,No Failure,0
M,298.0,309.72,1168.0,52.32,142,529.2,3.19,150.2,No Failure,0
L,296.52,305.63,1464.9,44.31,143,779.0,2.937,161.71,No Failure,0
H,301.35,309.96,1445.4,42.09,233,2189.8,4.491,138.64,No Failure,0
M,303.96,314.8,1357.5,53.83,138,748.9,3.291,168.67,No Failure,0
M,296.76,306.5,1604.6,33.63,189,838.3,3.778,154.71,No Failure,0
L,298.1,307.93,1421.8,52.78,121,1394.1,3.13,150.31,No Failure,0
L,301.5,310.38,1452.2,37.92,22,384.0,2.199,161.94,No Failure,0
H,299.91,310.49,1683.0,33.58,135,343.1,2.846,158.35,No Failure,0
M,301.67,312.07,1486.9,26.73,213,1082.1,3.38,157.78,No Failure,0
H,299.8,309.64,1247.8,55.85,190,892.5,3.372,155.4,No Failure,0
H,298.84,307.45,1307.4,51.41,136,516.5,3.407,158.56,No Failure,0
L,299.55,310.76,1574.6,35.22,239,1360.8,4.351,147.05,No Failure,0
M,295.24,305.49,1485.8,45.45,241,1848.4,4.414,157.06,No Failure,0
L,297.71,308.83,1413.2,41.27,235,1342.4,3.844,143.55,No Failure,0
M,301.9,309.79,1471.1,36.47,246,489.8,4.226,140.53,No Failure,0
L,302.38,312.44,1418.9,49.65,83,711.5,2.302,143.91,No Failure,0
L,302.81,312.1,1450.3,33.75,40,393.1,1.569,129.27,No Failure,0
M,300.88,310.92,1743.6,18.08,110,1691.6,2.052,135.18,Power Failure,1
M,295.49,306.43,1616.6,42.6,62,691.4,2.066,146.07,No Failure,0
M,298.73,309.1,1475.1,40.67,40,146.5,2.188,130.65,No Failure,0
L,302.65,312.67,1575.1,34.07,163,1056.3,3.358,145.26,No Failure,0
L,303.25,313.26,1577.6,31.08,27,717.4,1.567,159.99,No Failure,0
H,302.73,311.17,1744.2,24.41,13,633.7,1.894,146.07,No Failure,0
L,299.53,308.62,1700.1,36.37,46,156.7,1.833,145.28,No Failure,0
L,297.39,308.51,1534.3,31.25,100,382.6,2.774,147.95,No Failure,0
M,299.92,309.41,1422.2,49.64,164,762.3,3.322,118.47,No Failure,0
L,300.03,311.17,1532.3,45.17,247,1195.7,4.177,151.23,Overstrain Failure,1
M,303.13,313.96,1566.2,35.15,156,940.0,3.083,158.34,No Failure,0
L,300.46,311.33,1372.6,45.23,131,332.8,3.266,161.22,No Failure,0
H,300.03,310.37,1342.2,38.93,73,444.6,2.248,144.07,No Failure,0
H,300.15,309.71,1464.2,37.31,82,300.4,1.862,167.56,No Failure,0
H,300.8,310.65,1530.3,39.45,154,556.2,3.359,152.86,No Failure,0
M,301.25,311.89,1319.3,57.71,46,1164.6,2.412,161.73,No Failure,0
L,298.55,306.43,1350.0,46.44,19,461.7,2.441,146.01,Heat Dissipation Failure,1
M,297.88,309.13,1468.1,37.02,187,540.3,3.022,167.3,No Failure,0
H,302.74,312.24,1589.7,48.94,245,652.4,4.166,143.97,No Failure,0
M,296.72,306.63,1326.2,48.58,232,191.0,3.608,154.25,No Failure,0
M,303.28,313.2,1447.3,42.6,168,788.0,3.362,150.24,No Failure,0
M,296.18,306.14,1476.3,36.71,231,728.0,3.875,134.98,No Failure,0
M,298.83,307.52,1704.1,36.05,189,748.1,3.832,168.51,No Failure,0
M,301.94,312.1,1449.9,29.25,16,299.9,1.69,145.89,No Failure,0
L,300.0,310.6,1411.3,41.8,97,2080.8,2.453,135.41,No Failure,0
L,297.37,305.32,1551.1,33.9,18,2168.6,1.684,139.93,No Failure,0
M,300.85,309.55,1546.6,35.63,64,533.1,2.447,159.53,No Failure,0
L,300.13,311.03,1547.6,46.24,247,99.5,3.667,169.42,Overstrain Failure,1
H,299.57,310.28,1453.2,56.87,206,27.2,4.16,139.22,No Failure,0
M,298.75,309.05,1403.3,43.74,238,264.3,3.84,155.34,No Failure,0
L,299.93,309.25,1533.2,38.95,120,281.6,2.669,144.01,No Failure,0
H,298.84,309.55,1482.5,39.81,54,575.7,2.141,121.8,No Failure,0
M,304.87,313.67,1364.3,51.38,94,381.0,2.312,158.48,No Failure,0
M,299.52,309.38,1557.0,43.88,49,451.9,1.715,137.48,No Failure,0
L,299.25,307.95,1504.0,41.94,241,1363.4,4.244,158.29,No Failure,0
H,298.92,308.75,1618.9,42.65,147,420.7,2.995,156.61,No Failure,0
L,303.55,312.52,1653.7,25.71,12,1703.2,1.423,144.69,No Failure,0
M,296.72,307.48,1548.8,43.9,79,669.8,2.536,154.44,No Failure,0
L,300.72,311.15,1322.3,31.25,124,706.4,2.292,160.21,No Failure,0
M,299.52,308.95,1473.2,43.94,179,1209.5,3.246,129.51,No Failure,0
M,297.15,308.24,1594.5,32.65,224,1364.8,3.424,153.75,No Failure,0
M,298.36,307.41,1496.7,45.91,51,917.0,1.53,155.8,No Failure,0
L,300.63,310.6,1648.2,38.47,176,666.3,3.27,147.41,No Failure,0
H,298.27,307.66,1644.2,28.55,201,466.3,3.332,168.98,No Failure,0
M,300.52,311.26,1411.1,37.09,195,110.6,3.634,152.61,No Failure,0
L,303.46,314.1,1369.0,62.06,70,1272.2,2.847,176.72,No Failure,0
H,300.34,311.64,1754.2,17.27,84,1037.2,1.465,167.64,Power Failure,1
M,297.09,307.18,1428.9,41.66,34,453.7,1.459,172.08,No Failure,0
H,298.31,305.35,1540.9,29.89,145,423.9,2.661,159.14,No Failure,0
H,299.43,309.0,1457.8,53.77,85,1405.5,2.788,164.06,No Failure,0
H,299.3,310.86,1432.2,48.16,103,27.7,2.638,147.1,No Failure,0
M,300.3,309.98,1580.9,41.86,4,672.8,1.443,175.45,No Failure,0
M,300.62,308.71,1440.7,49.17,236,585.7,4.538,137.04,No Failure,0
L,303.46,313.91,1281.5,42.45,161,1275.6,3.431,171.97,No Failure,0
M,299.99,310.52,1502.2,40.06,59,1026.0,2.403,148.37,No Failure,0
M,297.7,306.97,1509.7,34.01,16,239.7,1.744,133.87,No Failure,0
M,302.31,312.06,1581.9,36.39,97,410.6,2.165,157.59,No Failure,0
H,302.53,311.68,1572.9,35.36,36,739.5,2.087,149.23,No Failure,0
L,300.46,310.99,1412.0,40.1,47,428.1,2.829,157.9,No Failure,0
L,299.51,309.56,1666.9,21.08,198,204.8,3.384,173.76,No Failure,0
M,301.25,310.08,1463.5,50.3,13,274.0,1.905,136.31,No Failure,0
L,299.58,309.57,1381.9,59.47,126,1883.3,2.788,168.89,No Failure,0
L,295.89,305.16,1620.2,35.68,193,465.8,3.216,159.33,No Failure,0
L,301.13,312.59,1311.7,51.75,148,863.0,3.523,160.56,No Failure,0
H,301.78,312.68,1494.4,38.66,32,79.2,2.087,128.79,No Failure,0
L,302.88,312.76,1345.4,33.98,70,1163.6,1.869,156.45,No Failure,0
L,298.54,308.62,1634.5,36.18,43,893.9,2.098,163.66,No Failure,0
L,300.45,311.47,1501.8,40.86,243,1234.4,3.757,174.62,No Failure,0
L,300.5,310.32,1547.6,32.79,169,187.5,3.405,131.63,No Failure,0
L,300.17,310.93,1440.0,46.06,246,2153.8,4.364,146.55,Overstrain Failure,1
M,300.23,311.71,1584.8,34.81,34,1490.7,2.13,183.62,No Failure,0
M,300.07,309.58,1679.5,29.27,91,177.8,2.148,125.38,No Failure,0
L,300.42,312.07,1475.4,39.8,88,414.1,2.694,164.4,No Failure,0
M,301.48,312.84,1592.4,33.06,196,894.9,3.456,153.93,No Failure,0
L,302.44,312.69,1562.0,36.73,18,193.7,1.834,142.59,No Failure,0
L,298.49,308.04,1306.5,39.46,200,1829.9,3.609,145.82,No Failure,0
H,299.66,309.89,1543.5,26.6,116,1115.2,2.233,181.17,No Failure,0
M,299.15,308.91,1422.5,54.59,228,420.4,4.27,161.17,Overstrain Failure,1
H,298.87,308.08,1546.0,48.13,82,1022.8,2.718,148.87,No Failure,0
L,296.77,307.3,1672.7,33.7,215,439.0,3.293,141.26,No Failure,0
L,300.05,309.02,1391.3,39.81,223,1908.2,3.997,161.53,Tool Wear Failure,1
L,300.96,310.62,1539.1,46.36,109,735.3,2.973,146.94,No Failure,0
L,299.69,309.36,1576.3,42.09,224,859.3,3.679,139.91,No Failure,0
H,299.98,308.62,1386.8,58.8,90,271.1,2.955,148.03,No Failure,0
L,300.84,311.5,1337.3,37.61,165,502.1,3.018,155.92,No Failure,0
H,302.82,312.59,1356.5,51.89,233,1391.4,4.344,148.46,No Failure,0
H,299.16,310.46,1616.5,26.65,44,536.2,1.507,172.16,No Failure,0
M,297.66,307.41,1573.2,28.19,102,256.1,2.781,160.4,No Failure,0
L,299.82,309.41,1170.1,56.84,13,179.9,2.448,147.01,No Failure,0
M,303.77,312.86,1511.0,35.68,130,793.5,3.059,160.18,No Failure,0
L,297.68,307.72,1509.6,28.33,68,128.9,2.631,146.89,Random Failure,1
M,301.3,311.34,1557.0,39.52,24,59.1,2.259,148.42,No Failure,0
L,302.32,313.06,1442.1,52.64,225,817.6,4.384,150.55,Overstrain Failure,1
H,295.27,305.34,1608.2,32.36,73,55.2,2.646,144.74,No Failure,0
M,300.82,312.91,1470.1,39.58,182,735.6,3.374,164.01,No Failure,0
M,301.21,311.66,1650.2,21.46,40,652.2,1.463,163.28,No Failure,0
M,299.47,308.48,1530.0,35.31,66,412.1,2.46,138.76,No Failure,0
M,298.71,307.64,1502.5,49.97,20,625.8,1.967,170.84,No Failure,0
H,298.82,309.35,1514.7,32.16,177,963.0,3.49,156.44,No Failure,0
L,299.34,308.32,1533.6,27.28,92,1640.6,2.034,124.92,No Failure,0
H,299.4,309.99,1648.6,32.24,225,553.1,3.497,152.9,Tool Wear Failure,1
H,299.02,309.91,1622.7,33.9,128,746.2,2.32,157.77,No Failure,0
H,299.31,310.23,1480.8,47.65,47,237.7,1.889,141.83,No Failure,0
L,302.38,311.51,1611.8,43.8,194,734.2,3.719,179.0,No Failure,0
H,297.57,308.49,1642.1,45.73,216,571.4,3.452,139.41,Tool Wear Failure,1
L,296.5,306.82,1608.5,40.28,151,884.6,2.819,156.84,No Failure,0
M,302.41,311.81,1482.3,33.8,173,222.1,2.966,141.82,No Failure,0
L,299.62,309.46,1636.9,32.24,206,2248.7,3.382,142.4,No Failure,0
L,299.22,309.69,1475.3,44.32,27,456.4,1.983,151.45,No Failure,0
L,299.78,309.1,1322.3,55.89,58,787.2,3.086,140.27,No Failure,0
L,300.42,310.72,1508.6,30.59,194,30.4,3.59,145.87,No Failure,0
L,298.95,310.4,1605.7,29.82,198,656.8,3.2,142.04,No Failure,0
H,301.01,311.98,1664.4,28.64,46,814.1,1.839,130.87,No Failure,0
L,298.08,308.16,1557.6,48.32,12,1305.7,1.725,146.19,No Failure,0
M,299.4,309.63,1564.0,39.58,135,874.9,3.207,175.08,No Failure,0
L,295.57,305.03,1507.2,45.55,69,1758.0,2.57,143.13,No Failure,0
M,302.34,311.83,1522.1,34.92,41,1374.3,1.746,149.28,No Failure,0
M,299.65,308.11,1470.0,46.18,110,163.8,2.939,151.17,No Failure,0
L,301.34,311.59,1388.5,37.12,66,1805.5,2.339,170.99,No Failure,0
M,300.95,311.64,1674.5,24.55,239,507.7,3.697,155.32,No Failure,0
H,301.1,311.03,1465.0,49.23,203,631.0,3.932,139.18,No Failure,0
H,299.98,309.11,1675.2,39.64,22,137.9,1.986,129.51,No Failure,0
L,300.78,310.84,1521.3,36.9,240,1250.2,4.577,138.77,No Failure,0
L,298.08,309.42,1584.7,42.81,65,549.6,2.666,151.47,No Failure,0
M,297.66,308.56,1572.8,25.56,40,576.8,1.423,135.82,No Failure,0
L,299.8,309.77,1618.3,44.31,38,686.3,2.141,165.93,No Failure,0
H,298.64,310.69,1678.1,34.04,94,1132.1,3.059,145.88,No Failure,0
L,302.85,315.55,1614.4,38.44,106,1663.8,2.738,166.17,No Failure,0
H,300.75,310.27,1414.3,51.39,225,127.4,4.631,145.31,No Failure,0
L,298.57,308.32,1428.6,46.42,82,483.8,3.335,139.93,No Failure,0
L,299.46,310.15,1480.7,38.24,171,279.6,2.996,138.29,No Failure,0
H,300.27,309.35,1420.5,38.99,23,1293.1,1.789,156.02,No Failure,0
H,299.86,310.71,1746.9,14.39,205,1056.8,3.16,165.29,Power Failure,1
H,300.54,310.64,1543.4,31.78,120,874.1,2.244,155.38,No Failure,0
H,300.14,310.51,1521.1,41.67,144,591.0,3.491,135.54,No Failure,0
L,297.22,306.64,1576.4,32.36,121,1142.0,2.76,150.99,No Failure,0
L,295.7,304.91,1509.5,26.74,185,736.9,2.689,147.87,No Failure,0
L,299.25,307.27,1557.1,44.8,157,954.2,3.363,124.02,No Failure,0
M,301.12,312.61,1404.1,53.06,91,1549.7,2.535,150.47,No Failure,0
L,299.28,310.22,1635.3,32.79,210,957.6,3.549,160.63,No Failure,0
H,302.47,313.15,1325.1,48.75,27,572.6,1.297,169.56,No Failure,0
L,299.91,310.25,1373.3,47.25,243,344.2,4.119,159.83,Overstrain Failure,1
L,302.71,310.41,1542.8,30.23,155,341.8,3.207,130.87,No Failure,0
L,302.3,311.55,1580.1,32.72,25,441.8,1.578,139.55,No Failure,0
L,302.1,311.85,1346.4,58.03,124,856.3,2.668,161.31,No Failure,0
L,297.59,306.51,1712.2,28.83,84,1649.4,2.199,136.31,No Failure,0
M,300.03,308.34,1641.8,33.91,12,305.1,1.538,157.26,No Failure,0
L,302.45,311.47,1277.0,59.66,243,1501.1,4.894,144.17,Overstrain Failure,1
M,300.54,310.59,1810.7,34.31,218,403.7,3.799,149.24,No Failure,0
H,301.11,311.16,1384.1,53.53,141,1666.2,3.211,136.58,No Failure,0
M,297.22,308.13,1698.0,29.78,30,406.6,1.335,154.2,No Failure,0
M,303.84,315.9,1463.3,41.38,99,374.8,2.604,144.9,No Failure,0
L,298.42,309.1,1469.4,50.86,179,149.6,4.188,171.26,No Failure,0
L,296.01,305.84,1622.9,35.33,108,483.8,2.701,144.54,No Failure,0
L,299.3,311.1,1356.6,41.0,135,435.0,3.167,178.25,No Failure,0
H,295.11,303.52,1597.7,47.44,210,963.3,3.107,156.09,No Failure,0
M,297.83,305.75,1501.8,30.98,45,320.0,2.145,147.65,No Failure,0
L,305.12,314.23,1289.4,62.4,215,750.9,4.226,141.71,Overstrain Failure,1
L,299.24,310.05,1362.5,50.38,244,433.5,4.255,147.76,Overstrain Failure,1
H,297.14,307.31,1477.5,36.43,73,1197.0,2.31,144.74,No Failure,0
M,300.05,308.92,1472.0,37.65,232,1085.8,3.933,150.06,No Failure,0
M,298.2,307.48,1239.6,59.12,77,1010.4,2.675,147.08,No Failure,0
H,301.73,310.49,1596.9,36.45,175,44.4,3.131,168.86,No Failure,0
M,298.22,306.98,1548.1,35.28,174,312.6,2.825,158.78,No Failure,0
M,300.54,312.09,1395.9,51.46,234,1268.4,4.058,161.94,Overstrain Failure,1
L,297.71,307.56,1703.5,25.99,16,386.7,1.814,164.21,No Failure,0
L,305.2,316.97,1665.2,39.22,148,1183.7,2.897,144.89,No Failure,0
H,301.01,310.12,1352.9,40.84,211,169.3,3.966,135.15,No Failure,0
M,299.71,310.2,1702.4,32.96,22,928.2,1.358,154.77,No Failure,0
L,299.41,309.64,1623.2,24.34,1,847.9,0.89,150.22,No Failure,0
M,298.89,309.77,1372.9,40.69,16,867.9,1.645,148.31,No Failure,0
L,298.48,308.73,1482.1,46.88,115,1784.1,3.165,178.44,No Failure,0
H,298.42,309.41,1543.8,33.21,140,276.3,2.423,157.22,No Failure,0
L,303.36,313.91,1671.8,28.2,198,1203.2,3.876,137.67,No Failure,0
H,298.89,307.8,1412.6,52.56,105,753.6,3.542,153.42,No Failure,0
M,295.74,306.47,1489.9,45.28,228,2073.2,4.198,155.63,No Failure,0
L,297.67,307.56,1489.8,36.38,28,457.0,1.647,141.56,No Failure,0
L,301.86,311.08,1333.8,49.21,156,1378.5,3.202,159.51,No Failure,0
H,299.5,310.19,1547.4,42.42,116,1928.3,2.602,136.4,No Failure,0
L,299.73,310.65,1309.6,57.89,132,292.3,3.071,140.34,No Failure,0
L,302.34,311.86,1483.1,46.64,125,427.2,2.917,146.38,No Failure,0
M,298.45,308.1,1744.9,26.1,174,1206.0,2.514,145.05,No Failure,0
L,301.26,309.88,1538.3,33.41,179,976.2,3.363,151.42,No Failure,0
L,298.66,306.86,1611.9,33.89,210,561.2,3.238,141.03,No Failure,0
L,301.15,310.91,1472.5,43.1,91,787.6,2.314,154.81,No Failure,0
H,299.22,310.01,1491.5,36.97,3,543.8,1.341,154.02,No Failure,0
L,299.52,308.94,1449.6,28.73,39,556.7,1.873,111.4,No Failure,0
L,301.64,313.07,1449.3,45.89,151,387.6,3.559,166.04,No Failure,0
L,301.5,311.29,1405.2,50.0,40,1047.7,1.895,155.99,No Failure,0
L,299.67,309.47,1429.8,38.97,191,420.1,3.851,147.88,No Failure,0
L,299.06,308.77,1300.1,42.09,0,148.7,1.305,140.05,No Failure,0
L,303.2,314.18,1427.1,30.32,231,678.6,3.498,158.34,No Failure,0
L,301.18,310.22,1702.5,34.77,248,856.9,4.245,142.42,No Failure,0
L,299.22,309.09,1541.9,35.18,99,243.4,1.995,144.82,No Failure,0
H,298.69,308.15,1326.1,45.59,214,765.6,3.686,146.4,No Failure,0
L,302.05,311.49,1425.3,42.56,225,237.4,3.623,145.38,Tool Wear Failure,1
L,300.23,310.27,1527.3,36.7,202,332.5,3.417,146.88,Tool Wear Failure,1
H,299.67,309.56,1569.9,36.31,157,364.9,2.89,130.08,No Failure,0
H,300.23,311.28,1636.4,20.32,51,1006.1,1.194,155.06,Power Failure,1
M,300.68,310.66,1553.4,56.06,83,268.8,2.933,140.12,Power Failure,1
L,299.89,310.44,1853.0,19.15,89,1338.5,2.177,148.18,No Failure,0
L,302.41,312.58,1500.7,44.22,245,1462.6,4.403,144.08,No Failure,0
L,302.52,313.92,1464.0,40.38,160,333.5,3.085,149.75,No Failure,0
L,301.06,310.76,1555.7,37.34,14,974.4,1.659,147.85,No Failure,0
L,302.75,312.45,1381.1,39.92,40,858.1,2.266,144.94,No Failure,0
M,300.02,310.76,1643.0,33.37,217,812.3,3.705,151.66,No Failure,0
L,301.38,311.06,1463.2,46.53,121,1521.8,3.212,160.55,No Failure,0
M,302.01,312.51,1496.5,26.86,132,514.7,2.907,153.67,No Failure,0
L,302.04,314.38,1421.2,43.28,229,769.0,3.969,162.73,No Failure,0
L,301.83,310.85,1605.8,33.22,146,924.0,2.953,164.75,No Failure,0
M,301.26,312.79,1384.3,35.73,103,86.0,2.524,144.59,No Failure,0
H,303.91,313.42,1451.6,36.0,208,1138.5,3.629,169.47,No Failure,0
L,298.92,310.26,1471.3,38.35,83,2006.3,2.233,145.22,No Failure,0
M,299.69,310.38,1547.6,45.02,231,104.1,4.113,134.49,No Failure,0
L,299.57,310.17,1657.2,39.64,18,798.3,1.828,152.62,No Failure,0
L,299.26,309.11,1459.4,49.33,223,581.2,3.836,156.76,Overstrain Failure,1
M,296.02,305.77,1168.0,50.45,30,861.5,2.225,173.6,No Failure,0
L,302.75,312.03,1374.8,43.09,116,1138.0,3.192,160.28,No Failure,0
L,297.95,307.95,1760.0,46.83,53,391.8,2.269,165.4,No Failure,0
L,300.34,310.16,1352.2,60.25,178,872.2,3.806,165.11,No Failure,0
L,297.16,307.35,1378.5,25.87,116,1523.3,2.533,143.06,No Failure,0
L,301.24,309.83,1627.5,50.76,188,1254.6,3.124,156.39,No Failure,0
L,298.43,308.45,1256.2,55.45,140,1063.9,3.2,142.57,No Failure,0
H,297.73,308.99,1516.9,44.34,86,523.9,3.241,151.3,No Failure,0
M,300.39,311.33,1244.5,59.04,183,474.7,3.824,150.83,No Failure,0
L,298.6,308.62,1556.3,57.74,75,812.1,2.436,154.1,Power Failure,1
L,298.85,311.41,1399.4,36.63,56,823.2,2.081,169.64,No Failure,0
M,300.34,309.77,1468.2,37.4,205,1265.6,3.429,166.16,No Failure,0
L,301.6,311.51,1552.0,45.31,248,800.3,4.237,150.13,Overstrain Failure,1
M,298.36,306.91,1500.1,33.76,133,1143.1,2.86,145.74,No Failure,0
M,298.02,307.61,1326.9,67.11,239,143.5,4.513,164.62,Power Failure,1
L,300.05,311.83,1511.7,47.89,55,1041.2,2.575,152.88,No Failure,0
L,301.08,310.71,1512.2,40.47,1,1067.1,1.256,165.95,No Failure,0
L,302.93,311.4,1512.8,25.9,220,1460.5,3.617,122.04,No Failure,0
L,297.86,308.73,1409.0,42.52,207,101.0,4.034,150.44,No Failure,0
L,299.36,309.75,1560.3,28.14,123,1739.7,2.51,165.48,No Failure,0
H,302.35,313.18,1492.1,47.6,213,618.4,4.126,135.49,No Failure,0
L,303.95,313.65,1773.2,14.98,218,495.5,3.211,132.31,Power Failure,1
M,298.01,307.01,1407.8,53.84,90,1191.0,2.449,132.82,No Failure,0
M,298.52,308.34,1597.1,35.76,41,559.2,1.355,151.56,No Failure,0
L,300.76,311.32,1492.1,23.08,153,926.8,2.625,141.86,No Failure,0
L,298.84,308.77,1528.1,39.84,222,937.6,3.722,154.82,No Failure,0
L,298.48,308.87,1492.8,40.17,144,2879.0,3.701,161.67,No Failure,0
M,300.49,309.95,1549.7,39.36,101,2629.4,2.611,142.24,No Failure,0
